id,SQ1,SQ2,DQ1,DQ2,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5#1,Q5#2,Q5#3,Q6#1,Q6#2,Q6#3,Q7#1,Q7#2,Q7#3,Q8,Q9,Q10,Q11,Q12,DQ3,DQ4,DQ5,DQ6
164,2,2,1,4,2,2,3,2,2,3,2,2,2,3,3,1,9,6,2,6,10,1,5,6,1,3,2,3,5,4,7,2,3
165,1,1,9,3,3,2,2,3,3,3,3,3,3,2,3,3,4,5,10,8,11,4,3,1,3,3,2,3,3,10,3,3,3
166,2,2,1,4,3,3,3,3,3,3,3,3,3,3,2,3,1,4,5,10,11,1,4,3,3,4,2,5,3,4,3,1,4
167,1,1,15,3,3,2,3,3,3,3,3,3,3,3,4,3,4,5,1,2,3,1,2,3,2,2,2,2,3,10,3,3,3
168,1,1,16,3,4,1,3,4,3,3,3,3,3,3,2,1,2,7,12,,,3,4,1,4,3,3,4,5,10,5,3,2
169,3,2,1,4,3,1,3,3,3,3,1,3,3,4,2,1,3,4,12,,,3,4,1,5,5,2,1,1,11,6,3,4
170,1,1,9,3,4,1,3,4,3,2,2,4,3,3,2,1,5,3,10,11,9,3,1,4,4,3,4,2,3,10,4,2,2
171,1,1,1,3,3,3,4,4,3,4,3,3,3,3,4,2,3,8,12,,,3,8,4,5,2,4,7,3,10,3,3,3
172,1,1,1,3,3,2,3,3,3,3,3,2,3,3,3,1,2,3,9,11,6,3,4,7,4,2,2,1,2,10,3,2,2
173,3,2,4,4,3,2,3,3,2,3,3,3,3,3,2,1,2,5,3,4,8,1,3,8,3,3,2,5,4,11,4,2,2
174,3,2,15,4,3,2,3,3,3,4,3,4,3,3,3,1,3,4,6,7,9,3,4,1,3,3,2,2,3,3,3,3,4
175,1,2,1,4,3,2,2,3,3,3,3,3,3,2,2,2,5,8,5,9,11,1,2,3,4,4,4,3,1,4,2,3,3
176,3,1,11,2,3,2,3,3,3,3,2,4,3,3,3,1,3,5,5,4,9,1,3,4,4,3,4,2,3,9,2,2,4
177,3,2,3,4,3,2,3,3,3,3,3,3,2,2,3,1,3,8,12,,,3,4,1,3,3,4,1,3,3,1,2,2
178,3,2,4,3,3,1,3,4,4,3,4,4,4,2,4,1,4,8,11,10,5,3,7,4,3,3,4,1,1,3,5,2,3
179,4,1,7,4,2,2,3,3,3,2,3,3,3,3,2,3,4,5,8,11,4,2,3,4,2,3,2,3,1,9,1,1,3
180,2,2,1,4,2,2,2,3,3,3,2,3,3,3,2,2,7,8,10,9,6,3,1,4,4,4,2,3,3,3,2,2,3
181,2,1,15,4,4,1,4,4,2,3,4,3,3,2,3,1,5,3,4,6,8,2,3,7,1,3,2,5,3,9,1,1,3
182,3,1,2,2,3,2,3,3,3,3,3,2,3,4,3,2,1,3,2,1,4,1,2,3,2,2,3,2,2,9,2,3,3
183,4,2,1,2,4,1,4,4,3,4,3,3,4,2,2,3,8,9,4,5,9,3,5,7,3,3,5,3,3,2,2,2,5
184,4,1,4,4,3,2,3,3,3,2,2,3,3,2,3,2,6,4,5,11,9,3,4,7,3,3,2,3,1,9,4,3,2
185,1,2,9,4,3,3,3,3,3,2,2,4,2,2,3,5,8,1,9,3,4,2,7,3,3,2,5,2,3,11,4,2,3
186,2,1,12,4,4,2,3,3,3,4,3,3,4,3,3,5,11,9,3,8,4,4,1,3,5,3,2,4,3,9,1,1,3
187,3,1,15,4,4,3,4,4,3,2,2,4,3,3,2,1,4,3,10,11,2,1,3,4,3,4,2,2,3,9,4,2,3
188,2,2,1,5,4,1,3,3,3,2,3,3,3,3,3,2,5,3,10,4,11,3,1,7,4,4,2,3,1,2,6,3,3
189,2,2,1,4,3,3,3,3,3,3,3,3,3,2,3,1,2,3,10,9,8,1,3,4,3,5,5,5,1,3,6,3,3
190,1,1,16,4,3,2,3,3,2,3,3,3,3,3,3,2,3,4,10,9,8,11,,,3,4,5,7,6,9,4,3,3
191,2,2,2,4,3,2,2,3,4,1,1,4,3,1,1,7,3,1,12,,,3,7,4,5,3,2,2,3,3,4,3,3
192,4,1,16,4,4,2,3,2,3,4,4,2,4,4,2,4,2,1,5,4,2,3,2,1,2,4,4,3,6,9,7,1,1
193,1,2,1,4,3,2,3,3,3,3,3,3,3,3,2,1,9,6,1,6,9,9,3,1,4,4,1,2,2,3,2,2,3
194,1,2,1,3,4,2,3,3,2,3,4,4,2,3,4,5,2,9,12,,,3,1,7,3,2,5,4,1,10,8,4,3
